district,pop,part,full,partq,fullq
Alb-Donau-Kreis,198203.99999999997,129942.99999999999,126748,0.6556023087324171,0.6394825533288936
Baden-Baden,55449,42258,41036,0.7621057187685981,0.7400674493678876
Biberach,202250,127547.00000000001,124353,0.6306402966625464,0.6148479604449938
Böblingen,392897.99999999994,250336,243882.00000000003,0.6371526452158067,0.6207259899515907
Bodenseekreis,217901,146456.00000000003,142345,0.6721217433605171,0.6532553774420494
Breisgau-Hochschwarzwald,264867,179662,174037,0.6783102462745454,0.6570731725734048
Calw,160148.99999999997,100675.99999999999,97744.00000000001,0.6286395793916915,0.6103316286708005
Emmendingen,166862.00000000003,118164.99999999999,114763,0.7081600364372953,0.6877719312965204
Enzkreis,199752,121645,118853,0.6089801353678561,0.5950028034763106
Esslingen,533617,344835,337002,0.6462219157185772,0.6315428481476415
Freiburg im Breisgau,230940,167363,162620,0.7247033861609076,0.7041655841344072
Freudenstadt,118364,80564,79054,0.6806461424081647,0.6678888851339935
Göppingen,258780.99999999994,166578,163548.99999999997,0.6437025902210751,0.6319977123513705
Heidelberg,158741,112920,108587,0.7113474149715574,0.6840513792907944
Heidenheim,132812,79590,77503,0.599268138421227,0.5835541969099178
"Heilbronn, Land",346363,222233.99999999997,215934,0.641621651273375,0.623432641477294
"Heilbronn, Stadt",126458,82869.99999999999,81897,0.65531638963134,0.6476221354125481
Hohenlohekreis,112765,70455,68285,0.6247949275041015,0.6055513678889727
"Karlsruhe, Land",446852.00000000006,302171,296198,0.6762216572825006,0.662854815464628
"Karlsruhe, Stadt",308435.99999999994,204591,198373,0.6633175115745245,0.6431577377478636
Konstanz,286876,187662.99999999997,182722,0.654160682664287,0.6369372132907598
Lörrach,228842,150662.99999999997,147021.00000000003,0.6583712779996678,0.642456367275238
Ludwigsburg,544971,346469,340009,0.6357567650388737,0.6239029232748164
Main-Tauber-Kreis,132684,88951.00000000001,88386,0.6703973350215551,0.6661390974043593
Mannheim,309720.99999999994,208201,201771,0.6722211280475009,0.6514605080055923
Neckar-Odenwald-Kreis,143797,92505,91627.99999999999,0.6433027114612961,0.6372038359631981
Ortenaukreis,432580,284674.00000000006,273802,0.6580840538166353,0.6329511304267419
Ostalbkreis,314294,208444,199901,0.6632134243733574,0.6360318682507461
Pforzheim,126016,74381.99999999999,71047.00000000001,0.590258379888268,0.5637934865413917
Rastatt,232091,152265,149424,0.6560573223433912,0.6438164340711187
Ravensburg,285888,183402.00000000003,177224,0.6415169576897247,0.6199070964853369
Rems-Murr-Kreis,427285.99999999994,270097.99999999994,264683,0.6321246191075766,0.6194516085245012
Reutlingen,287496.99999999994,190191,184929,0.6615408160780809,0.643238016396693
Rhein-Neckar-Kreis,548233.0000000001,375320.99999999994,366148,0.6846012553056818,0.6678693183372761
Rottweil,140166,89112,87517.00000000001,0.6357604554599546,0.6243810909921095
Schwäbisch Hall,197860,119173.99999999999,118291.00000000001,0.6023147680177903,0.597852016577378
Schwarzwald-Baar-Kreis,212872,132628,129347.00000000001,0.6230410763275583,0.6076280581758052
Sigmaringen,130946,80996.00000000001,78289,0.618545049104211,0.5978724054190276
Stuttgart,630305,402605,390294.99999999994,0.6387463212254385,0.6192160937958606
Tübingen,228471,156754,153638,0.6861002052776939,0.67246171286509
Tuttlingen,141682.00000000003,85395,83401.00000000001,0.6027229993930068,0.5886492285540859
Ulm,126405,92210.00000000001,88813,0.7294806376330052,0.7026067006843084
Waldshut,171237,109215,107683,0.6378002417701781,0.6288535772058609
Zollernalbkreis,189862.00000000003,116473,113184.99999999999,0.6134613561428827,0.5961435147633543
Baden-Württemberg,11103043,7248650,7061917,0.6528525558263621,0.636034373639731
