district,pop,part,full,boost,partq,fullq,boostq
Alb-Donau-Kreis,198204,138631,139431,91656,0.699435934693548,0.7034721801779984,0.46243264515347826
Baden-Baden,55449,46866,45611,38935,0.8452091110750419,0.8225757001929701,0.7021767750545547
Biberach,202250,138329,139396,95080,0.6839505562422744,0.6892262051915946,0.47011124845488256
Böblingen,392898,260988,258487,124102,0.6642640074523158,0.6578984876481937,0.3158631502323758
Bodenseekreis,217901,157973,158198,111802,0.7249760212206461,0.726008600235887,0.5130862180531526
Breisgau-Hochschwarzwald,264867,197682,194199,134767,0.746344391713577,0.7331943956778307,0.5088100820411754
Calw,160149,108335,109707,69224,0.6764637930926825,0.6850308150534814,0.4322474695439872
Emmendingen,166862,126198,124488,88854,0.7563016145077969,0.7460536251513227,0.5324999101053566
Enzkreis,199752,129975,130305,78394,0.6506818454884056,0.6523338940285954,0.39245664624133925
Esslingen,533617,367656,366923,250214,0.688988544218044,0.6876148998251554,0.4689018528270276
Freiburg im Breisgau,230940,179676,176999,141048,0.7780202650038971,0.7664285095695852,0.6107560405300078
Freudenstadt,118364,95893,94007,96135,0.8101534250278801,0.7942195262072927,0.8121979655976479
Göppingen,258781,178805,179576,114467,0.6909510358179309,0.6939303890161952,0.44233154675188674
Heidelberg,158741,121956,118900,91390,0.76827032713665655,0.7490188420130905,0.5757176784825596
Heidenheim,132812,86974,88533,58797,0.6548655241996205,0.6666039213324098,0.44270849019666897
"Heilbronn, Land",346363,237049,234921,149526,0.6843946957382862,0.6782508524293877,0.43170315536012793
"Heilbronn, Stadt",126458,92015,94409,60009,0.7276328899713739,0.7465640766104161,0.47453700042701924
Hohenlohekreis,112765,76769,75240,55196,0.6807874783842505,0.6672283066554339,0.48947811821043763
"Karlsruhe, Land",446852,325288,324368,226533,0.7279546695550204,0.725895822330436,0.5069530851378085
"Karlsruhe, Stadt",308436,220260,217317,153802,0.7141189744387815,0.7045772866980509,0.4986512599048101
Konstanz,286876,202737,201580,146748,0.7067060332687294,0.7026729318590611,0.5115380861417477
Lörrach,228842,163859,162357,109705,0.71603551795562,0.7094720374756383,0.47939189484447786
Ludwigsburg,544971,368980,368892,220141,0.6770635501705595,0.6769020736883247,0.4039499349506671
Main-Tauber-Kreis,132684,95622,96645,68775,0.7206746857194537,0.7283847336528896,0.5183368002170571
Mannheim,309721,227784,222684,151942,0.735449000874981,0.7189825681823319,0.4905770031738242
Neckar-Odenwald-Kreis,143797,98986,100641,68096,0.6883731927648004,0.6998824732087596,0.47355647197090345
Ortenaukreis,432580,308489,301523,203215,0.7131374543437052,0.6970340746220353,0.46977437699385083
Ostalbkreis,314294,223291,221124,156996,0.7104526335214799,0.7035578152939604,0.49951955812074045
Pforzheim,126016,83470,81532,62749,0.6623762061960387,0.6469972067039106,0.4979447054342306
Rastatt,232091,162412,164349,112255,0.6997772425471044,0.7081231068847995,0.48366804399998276
Ravensburg,285888,199142,196893,140048,0.6965734833221401,0.6887067662860981,0.48987015894336244
Rems-Murr-Kreis,427286,291086,290972,213611,0.6812439443370483,0.6809771441142467,0.49992510870938905
Reutlingen,287497,204006,203937,139687,0.7095934914103451,0.7093534889059712,0.4858728960650024
Rhein-Neckar-Kreis,548233,403216,398409,285962,0.735482905990701,0.7267147362526517,0.5216066891267034
Rottweil,140166,97396,99411,69559,0.6948618067148952,0.7092376182526433,0.49626157556040695
Schwäbisch Hall,197860,130069,132076,86386,0.657378954816537,0.6675224906499545,0.43660163752147985
Schwarzwald-Baar-Kreis,212872,149032,150222,97220,0.7001014694276373,0.7056916832650607,0.45670637754143334
Sigmaringen,130946,87515,87521,61909,0.6683289294823821,0.668374749896904,0.4727826737739221
Stuttgart,630305,441439,436052,288845,0.7003577633050666,0.6918111073210589,0.4582622698534836
Tübingen,228471,168022,168918,123932,0.7354193748878414,0.7393410979949315,0.5424408349418526
Tuttlingen,141682,93718,95353,60298,0.6614672294292853,0.6730071568724326,0.42558687765559494
Ulm,126405,101229,100590,75873,0.8008306633440133,0.7957754835647324,0.6002373323840038
Waldshut,171237,118424,120850,82221,0.6915795067654771,0.7057470056121049,0.4801590777694073
Zollernalbkreis,189862,122786,123070,69132,0.6467118222709125,0.648207645553086,0.3641170955746806
Baden-Württemberg,11103043,7830028,7796616,5325236,0.705214597475665,0.7022053323579851,0.47961950611197307
